id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,task management,phrasal verb,task management,,task management trong ngữ cảnh kinh doanh.,task management plays an important role in business.,Dịch: task management plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,task management = task management,True,4,,
,business communication,phrasal verb,business communication,,business communication trong ngữ cảnh kinh doanh.,business communication plays an important role in business.,Dịch: business communication plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,business communication = business communication,True,4,,
,professional communication,phrasal verb,professional communication,,professional communication trong ngữ cảnh kinh doanh.,professional communication plays an important role in business.,Dịch: professional communication plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,professional communication = professional communication,True,4,,
,instant messaging,phrasal verb,instant messaging,,instant messaging trong ngữ cảnh kinh doanh.,instant messaging plays an important role in business.,Dịch: instant messaging plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,instant messaging = instant messaging,True,4,,
,forward,adjective,forward,,forward trong ngữ cảnh kinh doanh.,The company is forward in its approach.,Dịch: The company is forward in its approach.,,,medium,B1,500,50,[],[],[],[],[],Common usage,,,General Business Operations,,,forward = forward,True,1,,
,email thread,phrasal verb,email thread,,email thread trong ngữ cảnh kinh doanh.,email thread plays an important role in business.,Dịch: email thread plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,email thread = email thread,True,4,,
,virtual meeting,phrasal verb,virtual meeting,,virtual meeting trong ngữ cảnh kinh doanh.,virtual meeting plays an important role in business.,Dịch: virtual meeting plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,virtual meeting = virtual meeting,True,4,,
,business meeting,phrasal verb,business meeting,,business meeting trong ngữ cảnh kinh doanh.,business meeting plays an important role in business.,Dịch: business meeting plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,business meeting = business meeting,True,4,,
,meeting agenda,phrasal verb,meeting agenda,,meeting agenda trong ngữ cảnh kinh doanh.,meeting agenda plays an important role in business.,Dịch: meeting agenda plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,meeting agenda = meeting agenda,True,4,,
,meeting notes,phrasal verb,meeting notes,,meeting notes trong ngữ cảnh kinh doanh.,meeting notes plays an important role in business.,Dịch: meeting notes plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,meeting notes = meeting notes,True,4,,
,follow-up,phrasal verb,follow-up,,follow-up trong ngữ cảnh kinh doanh.,follow-up plays an important role in business.,Dịch: follow-up plays an important role in business.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,follow-up = follow-up,True,3,,
,speaker,noun,speaker,,speaker trong ngữ cảnh kinh doanh.,The speaker is important for business operations.,Dịch: The speaker is important for business operations.,,,medium,B1,500,50,[],[],[],[],[],Common usage,,,General Business Operations,,,speaker = speaker,True,1,,
,projector,noun,projector,,projector trong ngữ cảnh kinh doanh.,The projector is important for business operations.,Dịch: The projector is important for business operations.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,projector = projector,True,3,,
,status report,phrasal verb,status report,,status report trong ngữ cảnh kinh doanh.,status report plays an important role in business.,Dịch: status report plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,status report = status report,True,4,,
,order form,phrasal verb,order form,,order form trong ngữ cảnh kinh doanh.,order form plays an important role in business.,Dịch: order form plays an important role in business.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,order form = order form,True,3,,
,chart,noun,chart,,chart trong ngữ cảnh kinh doanh.,The chart is important for business operations.,Dịch: The chart is important for business operations.,,,easy,A1,400,80,[],[],[],[],[],Common usage,,,General Business Operations,,,chart = chart,True,1,,
,fax machine,phrasal verb,fax machine,,fax machine trong ngữ cảnh kinh doanh.,fax machine plays an important role in business.,Dịch: fax machine plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,fax machine = fax machine,True,4,,
,tablet,noun,tablet,,tablet trong ngữ cảnh kinh doanh.,The tablet is important for business operations.,Dịch: The tablet is important for business operations.,,,medium,B1,500,50,[],[],[],[],[],Common usage,,,General Business Operations,,,tablet = tablet,True,1,,
,supplies,noun,supplies,,supplies trong ngữ cảnh kinh doanh.,The supplies is important for business operations.,Dịch: The supplies is important for business operations.,,,medium,B2,600,50,[],[],[],[],[],Common usage,,,General Business Operations,,,supplies = supplies,True,2,,
,pen,verb,pen,,pen trong ngữ cảnh kinh doanh.,We need to pen the project effectively.,Dịch: We need to pen the project effectively.,,,easy,A1,400,80,[],[],[],[],[],pen + N,,,General Business Operations,,,pen = pen,True,1,,
,paper clip,phrasal verb,paper clip,,paper clip trong ngữ cảnh kinh doanh.,paper clip plays an important role in business.,Dịch: paper clip plays an important role in business.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,paper clip = paper clip,True,3,,
,sticky note,phrasal verb,sticky note,,sticky note trong ngữ cảnh kinh doanh.,sticky note plays an important role in business.,Dịch: sticky note plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,sticky note = sticky note,True,4,,
,filing cabinet,phrasal verb,filing cabinet,,filing cabinet trong ngữ cảnh kinh doanh.,filing cabinet plays an important role in business.,Dịch: filing cabinet plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,filing cabinet = filing cabinet,True,4,,
,supply room,phrasal verb,supply room,,supply room trong ngữ cảnh kinh doanh.,supply room plays an important role in business.,Dịch: supply room plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,supply room = supply room,True,4,,
,open-plan office,phrasal verb,open-plan office,,open-plan office trong ngữ cảnh kinh doanh.,open-plan office plays an important role in business.,Dịch: open-plan office plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,open-plan office = open-plan office,True,4,,
,kitchen,verb,kitchen,,kitchen trong ngữ cảnh kinh doanh.,We need to kitchen the project effectively.,Dịch: We need to kitchen the project effectively.,,,medium,B1,500,50,[],[],[],[],[],kitchen + N,,,General Business Operations,,,kitchen = kitchen,True,1,,
,identification card,phrasal verb,identification card,,identification card trong ngữ cảnh kinh doanh.,identification card plays an important role in business.,Dịch: identification card plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,identification card = identification card,True,4,,
,alarm system,phrasal verb,alarm system,,alarm system trong ngữ cảnh kinh doanh.,alarm system plays an important role in business.,Dịch: alarm system plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,alarm system = alarm system,True,4,,
,first-aid kit,phrasal verb,first-aid kit,,first-aid kit trong ngữ cảnh kinh doanh.,first-aid kit plays an important role in business.,Dịch: first-aid kit plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,first-aid kit = first-aid kit,True,4,,
,health and safety,phrasal verb,health and safety,,health and safety trong ngữ cảnh kinh doanh.,health and safety plays an important role in business.,Dịch: health and safety plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,health and safety = health and safety,True,4,,
,assembly point,phrasal verb,assembly point,,assembly point trong ngữ cảnh kinh doanh.,assembly point plays an important role in business.,Dịch: assembly point plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,assembly point = assembly point,True,4,,
,repair service,phrasal verb,repair service,,repair service trong ngữ cảnh kinh doanh.,repair service plays an important role in business.,Dịch: repair service plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Sales & Marketing,,,repair service = repair service,True,4,,
,maintenance worker,phrasal verb,maintenance worker,,maintenance worker trong ngữ cảnh kinh doanh.,maintenance worker plays an important role in business.,Dịch: maintenance worker plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,maintenance worker = maintenance worker,True,4,,
,lighting,verb,lighting,,lighting trong ngữ cảnh kinh doanh.,We need to lighting the project effectively.,Dịch: We need to lighting the project effectively.,,,medium,B2,600,50,[],[],[],[],[],lighting + N,,,General Business Operations,,,lighting = lighting,True,2,,
,operating system,phrasal verb,operating system,,operating system trong ngữ cảnh kinh doanh.,operating system plays an important role in business.,Dịch: operating system plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,operating system = operating system,True,4,,
,user account,phrasal verb,user account,,user account trong ngữ cảnh kinh doanh.,user account plays an important role in business.,Dịch: user account plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,user account = user account,True,4,,
,customer data,phrasal verb,customer data,,customer data trong ngữ cảnh kinh doanh.,customer data plays an important role in business.,Dịch: customer data plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Sales & Marketing,,,customer data = customer data,True,4,,
,remote access,phrasal verb,remote access,,remote access trong ngữ cảnh kinh doanh.,remote access plays an important role in business.,Dịch: remote access plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,remote access = remote access,True,4,,
,software update,phrasal verb,software update,,software update trong ngữ cảnh kinh doanh.,software update plays an important role in business.,Dịch: software update plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,software update = software update,True,4,,
,IT policy,phrasal verb,it policy,,IT policy trong ngữ cảnh kinh doanh.,IT policy plays an important role in business.,Dịch: IT policy plays an important role in business.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,IT policy = it policy,True,3,,
,casual wear,phrasal verb,casual wear,,casual wear trong ngữ cảnh kinh doanh.,casual wear plays an important role in business.,Dịch: casual wear plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,casual wear = casual wear,True,4,,
,employee ID,phrasal verb,employee id,,employee ID trong ngữ cảnh kinh doanh.,employee ID plays an important role in business.,Dịch: employee ID plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,employee ID = employee id,True,4,,
,respect,noun,respect,,respect trong ngữ cảnh kinh doanh.,The respect is important for business operations.,Dịch: The respect is important for business operations.,,,medium,B1,500,50,[],[],[],[],[],Common usage,,,General Business Operations,,,respect = respect,True,1,,
,office atmosphere,phrasal verb,office atmosphere,,office atmosphere trong ngữ cảnh kinh doanh.,office atmosphere plays an important role in business.,Dịch: office atmosphere plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,office atmosphere = office atmosphere,True,4,,
,staff turnover,phrasal verb,staff turnover,,staff turnover trong ngữ cảnh kinh doanh.,staff turnover plays an important role in business.,Dịch: staff turnover plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,staff turnover = staff turnover,True,4,,
,employee rights,phrasal verb,employee rights,,employee rights trong ngữ cảnh kinh doanh.,employee rights plays an important role in business.,Dịch: employee rights plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,employee rights = employee rights,True,4,,
,grievance,noun,grievance,,grievance trong ngữ cảnh kinh doanh.,The grievance is important for business operations.,Dịch: The grievance is important for business operations.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,grievance = grievance,True,3,,
,violation,noun,violation,,violation trong ngữ cảnh kinh doanh.,The violation is important for business operations.,Dịch: The violation is important for business operations.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,violation = violation,True,3,,
,staff relations,phrasal verb,staff relations,,staff relations trong ngữ cảnh kinh doanh.,staff relations plays an important role in business.,Dịch: staff relations plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,staff relations = staff relations,True,4,,
,hybrid work,phrasal verb,hybrid work,,hybrid work trong ngữ cảnh kinh doanh.,hybrid work plays an important role in business.,Dịch: hybrid work plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,hybrid work = hybrid work,True,4,,
,shared workspace,phrasal verb,shared workspace,,shared workspace trong ngữ cảnh kinh doanh.,shared workspace plays an important role in business.,Dịch: shared workspace plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,shared workspace = shared workspace,True,4,,
,virtual team,phrasal verb,virtual team,,virtual team trong ngữ cảnh kinh doanh.,virtual team plays an important role in business.,Dịch: virtual team plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,virtual team = virtual team,True,4,,
,project deadline,phrasal verb,project deadline,,project deadline trong ngữ cảnh kinh doanh.,project deadline plays an important role in business.,Dịch: project deadline plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,project deadline = project deadline,True,4,,
,project timeline,phrasal verb,project timeline,,project timeline trong ngữ cảnh kinh doanh.,project timeline plays an important role in business.,Dịch: project timeline plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,project timeline = project timeline,True,4,,
,task deadline,phrasal verb,task deadline,,task deadline trong ngữ cảnh kinh doanh.,task deadline plays an important role in business.,Dịch: task deadline plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,task deadline = task deadline,True,4,,
,review process,phrasal verb,review process,,review process trong ngữ cảnh kinh doanh.,review process plays an important role in business.,Dịch: review process plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,review process = review process,True,4,,
,purchasing process,phrasal verb,purchasing process,,purchasing process trong ngữ cảnh kinh doanh.,purchasing process plays an important role in business.,Dịch: purchasing process plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,purchasing process = purchasing process,True,4,,
,information management,phrasal verb,information management,,information management trong ngữ cảnh kinh doanh.,information management plays an important role in business.,Dịch: information management plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,information management = information management,True,4,,
,clerical work,phrasal verb,clerical work,,clerical work trong ngữ cảnh kinh doanh.,clerical work plays an important role in business.,Dịch: clerical work plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,clerical work = clerical work,True,4,,
,printing,verb,printing,,printing trong ngữ cảnh kinh doanh.,We need to printing the project effectively.,Dịch: We need to printing the project effectively.,,,medium,B2,600,50,[],[],[],[],[],printing + N,,,General Business Operations,,,printing = printing,True,2,,
,event planning,phrasal verb,event planning,,event planning trong ngữ cảnh kinh doanh.,event planning plays an important role in business.,Dịch: event planning plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,event planning = event planning,True,4,,
,hotel booking,phrasal verb,hotel booking,,hotel booking trong ngữ cảnh kinh doanh.,hotel booking plays an important role in business.,Dịch: hotel booking plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,hotel booking = hotel booking,True,4,,
,company vehicle,phrasal verb,company vehicle,,company vehicle trong ngữ cảnh kinh doanh.,company vehicle plays an important role in business.,Dịch: company vehicle plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,company vehicle = company vehicle,True,4,,
,supplier meeting,phrasal verb,supplier meeting,,supplier meeting trong ngữ cảnh kinh doanh.,supplier meeting plays an important role in business.,Dịch: supplier meeting plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,supplier meeting = supplier meeting,True,4,,
,sales representative,phrasal verb,sales representative,,sales representative trong ngữ cảnh kinh doanh.,sales representative plays an important role in business.,Dịch: sales representative plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,sales representative = sales representative,True,4,,
,visitor log,phrasal verb,visitor log,,visitor log trong ngữ cảnh kinh doanh.,visitor log plays an important role in business.,Dịch: visitor log plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,visitor log = visitor log,True,4,,
,visitor badge,phrasal verb,visitor badge,,visitor badge trong ngữ cảnh kinh doanh.,visitor badge plays an important role in business.,Dịch: visitor badge plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,visitor badge = visitor badge,True,4,,
,business day,phrasal verb,business day,,business day trong ngữ cảnh kinh doanh.,business day plays an important role in business.,Dịch: business day plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,business day = business day,True,4,,
,workday,noun,workday,,workday trong ngữ cảnh kinh doanh.,The workday is important for business operations.,Dịch: The workday is important for business operations.,,,medium,B1,500,50,[],[],[],[],[],Common usage,,,General Business Operations,,,workday = workday,True,1,,
,team briefing,phrasal verb,team briefing,,team briefing trong ngữ cảnh kinh doanh.,team briefing plays an important role in business.,Dịch: team briefing plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,team briefing = team briefing,True,4,,
,rule,noun,rule,,rule trong ngữ cảnh kinh doanh.,The rule is important for business operations.,Dịch: The rule is important for business operations.,,,easy,A1,400,80,[],[],[],[],[],Common usage,,,General Business Operations,,,rule = rule,True,1,,
,work plan,phrasal verb,work plan,,work plan trong ngữ cảnh kinh doanh.,work plan plays an important role in business.,Dịch: work plan plays an important role in business.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,work plan = work plan,True,3,,
,start date,phrasal verb,start date,,start date trong ngữ cảnh kinh doanh.,start date plays an important role in business.,Dịch: start date plays an important role in business.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,General Business Operations,,,start date = start date,True,3,,
,task completion,phrasal verb,task completion,,task completion trong ngữ cảnh kinh doanh.,task completion plays an important role in business.,Dịch: task completion plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,task completion = task completion,True,4,,
,work standard,phrasal verb,work standard,,work standard trong ngữ cảnh kinh doanh.,work standard plays an important role in business.,Dịch: work standard plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,work standard = work standard,True,4,,
,operating standard,phrasal verb,operating standard,,operating standard trong ngữ cảnh kinh doanh.,operating standard plays an important role in business.,Dịch: operating standard plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,operating standard = operating standard,True,4,,
,technical support,phrasal verb,technical support,,technical support trong ngữ cảnh kinh doanh.,technical support plays an important role in business.,Dịch: technical support plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,technical support = technical support,True,4,,
,HR support,phrasal verb,hr support,,HR support trong ngữ cảnh kinh doanh.,HR support plays an important role in business.,Dịch: HR support plays an important role in business.,,,hard,C1,700,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,HR support = hr support,True,3,,
,support department,phrasal verb,support department,,support department trong ngữ cảnh kinh doanh.,support department plays an important role in business.,Dịch: support department plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,support department = support department,True,4,,
,job opportunity,phrasal verb,job opportunity,,job opportunity trong ngữ cảnh kinh doanh.,job opportunity plays an important role in business.,Dịch: job opportunity plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,job opportunity = job opportunity,True,4,,
,career planning,phrasal verb,career planning,,career planning trong ngữ cảnh kinh doanh.,career planning plays an important role in business.,Dịch: career planning plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,career planning = career planning,True,4,,
,candidate screening,phrasal verb,candidate screening,,candidate screening trong ngữ cảnh kinh doanh.,candidate screening plays an important role in business.,Dịch: candidate screening plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,candidate screening = candidate screening,True,4,,
,recruitment agency,phrasal verb,recruitment agency,,recruitment agency trong ngữ cảnh kinh doanh.,recruitment agency plays an important role in business.,Dịch: recruitment agency plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,recruitment agency = recruitment agency,True,4,,
,salary increase,phrasal verb,salary increase,,salary increase trong ngữ cảnh kinh doanh.,salary increase plays an important role in business.,Dịch: salary increase plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,salary increase = salary increase,True,4,,
,salary payment,phrasal verb,salary payment,,salary payment trong ngữ cảnh kinh doanh.,salary payment plays an important role in business.,Dịch: salary payment plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,salary payment = salary payment,True,4,,
,employee contribution,phrasal verb,employee contribution,,employee contribution trong ngữ cảnh kinh doanh.,employee contribution plays an important role in business.,Dịch: employee contribution plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,employee contribution = employee contribution,True,4,,
,payment request,phrasal verb,payment request,,payment request trong ngữ cảnh kinh doanh.,payment request plays an important role in business.,Dịch: payment request plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,payment request = payment request,True,4,,
,equipment inventory,phrasal verb,equipment inventory,,equipment inventory trong ngữ cảnh kinh doanh.,equipment inventory plays an important role in business.,Dịch: equipment inventory plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,equipment inventory = equipment inventory,True,4,,
,water dispenser,phrasal verb,water dispenser,,water dispenser trong ngữ cảnh kinh doanh.,water dispenser plays an important role in business.,Dịch: water dispenser plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,water dispenser = water dispenser,True,4,,
,printer room,phrasal verb,printer room,,printer room trong ngữ cảnh kinh doanh.,printer room plays an important role in business.,Dịch: printer room plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,printer room = printer room,True,4,,
,official document,phrasal verb,official document,,official document trong ngữ cảnh kinh doanh.,official document plays an important role in business.,Dịch: official document plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,official document = official document,True,4,,
,business record,phrasal verb,business record,,business record trong ngữ cảnh kinh doanh.,business record plays an important role in business.,Dịch: business record plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Finance & Banking,,,business record = business record,True,4,,
,overseas office,phrasal verb,overseas office,,overseas office trong ngữ cảnh kinh doanh.,overseas office plays an important role in business.,Dịch: overseas office plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,overseas office = overseas office,True,4,,
,office closure,phrasal verb,office closure,,office closure trong ngữ cảnh kinh doanh.,office closure plays an important role in business.,Dịch: office closure plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,office closure = office closure,True,4,,
,seating arrangement,phrasal verb,seating arrangement,,seating arrangement trong ngữ cảnh kinh doanh.,seating arrangement plays an important role in business.,Dịch: seating arrangement plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,seating arrangement = seating arrangement,True,4,,
,private office,phrasal verb,private office,,private office trong ngữ cảnh kinh doanh.,private office plays an important role in business.,Dịch: private office plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,private office = private office,True,4,,
,employee lounge,phrasal verb,employee lounge,,employee lounge trong ngữ cảnh kinh doanh.,employee lounge plays an important role in business.,Dịch: employee lounge plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,employee lounge = employee lounge,True,4,,
,parking facility,phrasal verb,parking facility,,parking facility trong ngữ cảnh kinh doanh.,parking facility plays an important role in business.,Dịch: parking facility plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,parking facility = parking facility,True,4,,
,equipment upgrade,phrasal verb,equipment upgrade,,equipment upgrade trong ngữ cảnh kinh doanh.,equipment upgrade plays an important role in business.,Dịch: equipment upgrade plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,equipment upgrade = equipment upgrade,True,4,,
,project tool,phrasal verb,project tool,,project tool trong ngữ cảnh kinh doanh.,project tool plays an important role in business.,Dịch: project tool plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,project tool = project tool,True,4,,
,HR software,phrasal verb,hr software,,HR software trong ngữ cảnh kinh doanh.,HR software plays an important role in business.,Dịch: HR software plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,Personnel & Human Resources,,,HR software = hr software,True,4,,
,contact database,phrasal verb,contact database,,contact database trong ngữ cảnh kinh doanh.,contact database plays an important role in business.,Dịch: contact database plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,contact database = contact database,True,4,,
,system access,phrasal verb,system access,,system access trong ngữ cảnh kinh doanh.,system access plays an important role in business.,Dịch: system access plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,system access = system access,True,4,,
,information security,phrasal verb,information security,,information security trong ngữ cảnh kinh doanh.,information security plays an important role in business.,Dịch: information security plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,information security = information security,True,4,,
,hardware problem,phrasal verb,hardware problem,,hardware problem trong ngữ cảnh kinh doanh.,hardware problem plays an important role in business.,Dịch: hardware problem plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,hardware problem = hardware problem,True,4,,
,power outage,phrasal verb,power outage,,power outage trong ngữ cảnh kinh doanh.,power outage plays an important role in business.,Dịch: power outage plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,power outage = power outage,True,4,,
,repair request,phrasal verb,repair request,,repair request trong ngữ cảnh kinh doanh.,repair request plays an important role in business.,Dịch: repair request plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,repair request = repair request,True,4,,
,system administrator,phrasal verb,system administrator,,system administrator trong ngữ cảnh kinh doanh.,system administrator plays an important role in business.,Dịch: system administrator plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,system administrator = system administrator,True,4,,
,morning routine,phrasal verb,morning routine,,morning routine trong ngữ cảnh kinh doanh.,morning routine plays an important role in business.,Dịch: morning routine plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,morning routine = morning routine,True,4,,
,routine task,phrasal verb,routine task,,routine task trong ngữ cảnh kinh doanh.,routine task plays an important role in business.,Dịch: routine task plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,routine task = routine task,True,4,,
,pending task,phrasal verb,pending task,,pending task trong ngữ cảnh kinh doanh.,pending task plays an important role in business.,Dịch: pending task plays an important role in business.,,,hard,C2,800,25,[],[],[],[],[],Common usage,,,General Business Operations,,,pending task = pending task,True,4,,
