id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,topic,topic_url,created_at
127,contact,v.,"Tiếp xúc, liên hệ",/ˈkɒntækt/,to get in touch with,Manuel contacted at least a dozen car rental agencies to get the best deal.,Manuel đã tiếp xúc với ít nhất một tá đại lý đại lý cho thuê xe để được giao dịch tốt nhất.,https://audio.tflat.vn/data/cache/images/300x225/c/o/contact1.png,https://audio.tflat.vn/audio/c/o/contact.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
128,disappoint,v.,Làm thất vọng,"/,disə'pɔint/",to make someone feel sad because something that they hope for or expect to happen does not happen,Leila was disappointed to discover that no rental cars were available the weekend she wished to travel.,Leila thất vọng khi phát hiện ra rằng không có xe thuê vào dịp cuối tuần mà cô muốn đi du lịch.,https://audio.tflat.vn/data/cache/images/300x225/d/i/disappoint1.png,https://audio.tflat.vn/audio/d/i/disappoint.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
129,intend,v.,"Có ý định, có mục đích",/in'tend/,"to have a plan, result, or purpose in your mind",Do you intend to return the car to this location or to another location?,Anh định quay xe về chỗ này hay là chạy đến chỗ khác?,https://audio.tflat.vn/data/cache/images/300x225/i/n/intend1.jpg,https://audio.tflat.vn/audio/i/n/intend.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
130,license,n.,"Giấy phép, chứng chỉ, bằng",/'laisəns/,"to give somebody official permission to do, own, or use something",A driver's license allows you to operate a motor vehicle legally.,Giấy phép lái xe hạng A cho phép bạn lái xe mô tô một cách hợp pháp.,https://audio.tflat.vn/data/cache/images/300x225/l/i/license1.jpg,https://audio.tflat.vn/audio/l/i/license.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
131,nervously,adj.,"Bồn chồn, lo lắng",/ˈnɜːvəsli/,anxious about something or afraid of something,"As we approached the city Lonnie started driving nervously, so I volunteered to drive that part of the trip.","Lúc mà chúng tôi đến thành phố thì Lonnie bắt đầu lái xe rất căng thẳng, vì vậy tôi tình nguyện lái đoạn đường đó của cuộc hành trình.",https://audio.tflat.vn/data/cache/images/300x225/n/e/nervously1.png,https://audio.tflat.vn/audio/n/e/nervously.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
132,optional,adj.,"Tùy ý lựa chọn, không bắt buộc",/ˈɒpʃ(ə)n(ə)l/,that you can choose to do or have if you want to,This exercise is optional; you don't have to do it.,Bài tập này là tùy chọn; bạn không cần phải làm điều đó.,https://audio.tflat.vn/data/cache/images/300x225/o/p/optional1.jpg,https://audio.tflat.vn/audio/o/p/optional.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
133,tempt,v.,"Xúi giục, cám dỗ",/tempt/,to attract someone or make someone want to do or have something,I am tempted by the idea of driving across the country instead of flying.,Tôi bị cám dỗ bởi ý tưởng lái xe xuyên qua đất nước thay vì đi máy bay.,https://audio.tflat.vn/data/cache/images/300x225/t/e/tempt1.png,https://audio.tflat.vn/audio/t/e/tempt.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
134,thrill,n.,"Sự rùng rợn, ly kỳ, sự hưng phấn",/θril/,a strong feeling of excitement or pleasure,"Just taking a vacation is thrill enough, even if we are driving instead of flying.","Hãy thực hiện một kỳ nghỉ có đủ sự rộn ràng lên, cho dù ta đang lái xe thay vì đi máy bay.",https://audio.tflat.vn/data/cache/images/300x225/t/h/thrill1.png,https://audio.tflat.vn/audio/t/h/thrill.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
135,tier,n.,"Tầng, lớp, hạng",/'taiə/,one of several levels in an organization or a system,"If you are on a budget, I suggest you think about renting a car from our lowest tier.","Nếu anh chỉ có một số tiền nhỏ, tôi đề nghị anh hãy suy nghĩ về việc thuê một chiếc xe thuộc hạng thấp nhất của chúng tôi.",https://audio.tflat.vn/data/cache/images/300x225/t/i/tier1.png,https://audio.tflat.vn/audio/t/i/tier.mp3,Car Rentals,https://tienganhtflat.com/blog/toeic-words-car-rentals,2026-07-24 17:22:34.132489
136,basis,n.,"Cơ bản, cơ sở",/ˈbeɪsɪs/,the reason why people make a particular choice,She was chosen for the job on the basis of her qualifications.,Cô đã được lựa chọn cho công việc trên cơ sở trình độ của cô.,https://audio.tflat.vn/data/cache/images/300x225/b/a/basis-clone13.jpg,https://audio.tflat.vn/audio/b/a/basis-clone1.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
137,complete,v.,Hoàn thành,/kəmˈpliːt/,to finish making or doing something,We ordered some dessert to complete our meal.,Chúng tôi gọi một ít món tráng miệng để trọn vẹn bữa ăn của mình.,https://audio.tflat.vn/data/images_example/300x225/w/e/we_ordered_ex1_56248cf37f8b9af80c011d81.jpg,https://audio.tflat.vn/audio/c/o/complete.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
138,excite,v.,"Kích thích, kích động",/ik'sait/,"to make someone feel very pleased, interested or enthusiastic",Exotic flavor always excite me.,Những hương vị lạ/ngoại nhập luôn luôn kích thích tôi.,https://audio.tflat.vn/data/cache/images/300x225/e/x/excite1.png,https://audio.tflat.vn/audio/e/x/excite.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
139,flavor,n.,"Hương vị, mùi thơm",/ˈfleɪvər/,a substance added to food or drink to give it a particular flavour,The cook changed the flavor of the soup with a unique blend of herbs.,Người nấu bếp thay đổi mùi vị món súp bằng một sự pha trộn các loại cây cỏ độc đáo.,https://audio.tflat.vn/data/cache/images/300x225/f/l/flavor1.jpg,https://audio.tflat.vn/audio/f/l/flavor.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
140,forget,v.,Quên,/fərˈɡet/,to be unable to remember something,"The waiter forgets bringing the rolls, annoying the customer.","Anh nhân viên phục vụ quên mang các ổ bánh mì, gây bực mình cho người khách.",https://audio.tflat.vn/data/cache/images/300x225/f/o/forget1.png,https://audio.tflat.vn/audio/f/o/forget.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
141,ingredient,n.,"Thành phần, nguyên liệu",/in'gri:djənt/,"one of the things from which something is made, especially one of the foods","We want to make a special cake. To do that, we need to buy all the ingredients.","Chúng tôi muốn làm một chiếc bánh đặc biệt. Để làm được điều đó, chúng tôi cần mua đầy đủ các nguyên liệu.",https://audio.tflat.vn/data/cache/images/300x225/i/n/ingredient1.png,https://audio.tflat.vn/audio/i/n/ingredient.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
142,judge,v.,"Phán xét, đánh giá",/dʒʌdʒ/,to form an opinion about somebody / something,You shouldn’t judge someone by their appearance alone.,Bạn không nên đánh giá ai đó chỉ qua vẻ bề ngoài của họ.,https://audio.tflat.vn/data/cache/images/300x225/j/u/judge1.jpg,https://audio.tflat.vn/audio/j/u/judge.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
143,mix-up,n.,"Hỗn độn, lộn xộn",/'miks'ʌp/,"a situation that is full of confusion, especially because somebody has made a mistake",There was a mix-up about the ingredients and the dish was ruined.,Đã có một sự lộn xộn về các thành phần và món ăn đã bị hỏng.,https://audio.tflat.vn/data/cache/images/300x225/m/i/mix-up1.jpg,https://audio.tflat.vn/audio/m/i/mix-up.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
144,patron,n.,"Khách hàng quen, người bảo trợ",/'peitrən/,a person who gives money and support to artists and writers,This restaurant has many loyal patrons.,Nhà hàng này có nhiều người khách hàng quen rất trung thành.,https://audio.tflat.vn/data/cache/images/300x225/p/a/patron1.jpg,https://audio.tflat.vn/audio/p/a/patron.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
145,predict,v.,"Dự báo, dự đoán trước",/prɪˈdɪkt/,to say that something will happen in the future,He predicts that the trend will continue.,Anh ta dự đoán rằng xu hướng này sẽ tiếp tục.,https://audio.tflat.vn/data/cache/images/300x225/p/r/predict1.png,https://audio.tflat.vn/audio/p/r/predict.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
146,randomly,adv.,"Ngẫu nhiên, tình cờ",/['rændəmli]/,"done, without somebody deciding in advance what is going to happen, or without any regular pattern",We randomly made our selections from the menu.,Chúng tôi chọn đại (các món ăn) từ thực đơn.,https://audio.tflat.vn/data/cache/images/300x225/r/a/randomly1.png,https://audio.tflat.vn/audio/r/a/randomly.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
147,remind,v.,Nhắc nhở,/rɪˈmaɪnd/,to help someone remember something,He is so hard-working that he has never been reminded of homework.,Anh ấy chăm chỉ đến nỗi anh ấy không bao giờ bị nhắc nhở về việc làm bài tập về nhà.,https://audio.tflat.vn/data/cache/images/300x225/r/e/remind1.jpg,https://audio.tflat.vn/audio/r/e/remind.mp3,Eating Out,https://tienganhtflat.com/blog/toeic-words-eating-out,2026-07-24 17:22:34.132489
148,ability,n.,"Năng lực, khả năng, tài năng",/ə'biliti/,the fact that somebody / something able to do something,The designer's ability was obvious from her porfolio.,Năng lực của người thiết kế đã rõ ràng từ cặp hồ sơ (thiết kế) của cô ta.,https://audio.tflat.vn/data/cache/images/300x225/a/b/ability1.jpg,https://audio.tflat.vn/audio/a/b/ability.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
149,apply,v.,"Nộp, ứng tuyển",/ə'plai/,"to make a formal request, usually in writing, for something such as a job, a place at college, university",The college graduate applied for three jobs and received three offers.,Người tốt nghiệp cao đẳng đã xin việc ở 3 nơi và nhận được 3 lời mời chào.,https://audio.tflat.vn/data/cache/images/300x225/a/p/apply1.jpg,https://audio.tflat.vn/audio/a/p/apply.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
150,background,n.,"Kiến thức, kinh nghiệm",/'bækgraund/,"the details of a person's familly, education, experience",Your background in the publishing industry is a definite asset for this job.,Kiến thức của anh trong công nghiệp xuất bản là một vốn quý rõ ràng cho công việc này.,https://audio.tflat.vn/data/cache/images/300x225/b/a/background1.jpg,https://audio.tflat.vn/audio/b/a/background.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
151,be ready for,v.,Sẵn sàng cho,,,"Thanks to her careful research, the applicant felt that she was ready for the interview with the director of the program.","Nhờ sự nghiên cứu cẩn thận của mình, người xin việc thấy rằng cô ta đã sẵn sàng cho cuộc phỏng vấn với người giám đốc của chương trình.",https://audio.tflat.vn/data/cache/images/300x225/b/e/be_ready_for.jpg,https://audio.tflat.vn/audio/b/e/be_ready_for.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
152,call in,v.,"Yêu cầu, mời tới",/A/,"to ask to come, to beckon",The HR manager called in all the qualified applicants for a 2nd interview.,Giám đốc nhân sự mời tất cả các ứng viên đủ điều kiện cho một cuộc phỏng vấn lần 2.,https://audio.tflat.vn/data/cache/images/300x225/c/a/call_in.jpg,https://audio.tflat.vn/audio/c/a/call_in.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
153,confidence,n.,"Sự tin tưởng, sự tin cậy",/'kɔnfidəns/,"the feeling that you can trust, believe in and be sure about the abilities or good qualities of somebody / something",I have confidence in Mai because she is my close friend.,Tôi tin tưởng Mai vì cô ấy là bạn thân của tôi.,https://audio.tflat.vn/data/cache/images/300x225/c/o/confidence1.jpg,https://audio.tflat.vn/audio/c/o/confidence.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
154,constantly,adj.,"Luôn luôn, liên tục, liên miên",/'kɔnstəntli/,all the time; repeatedly,The company is constantly looking for highly trained employees.,Công ty không ngừng tìm kiếm những nhân viên được đào tạo tốt.,https://audio.tflat.vn/data/cache/images/300x225/c/o/constantly1.jpg,https://audio.tflat.vn/audio/c/o/constantly.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
155,expert,n.,Chuyên gia,/'ekspə:t/,"a person with special knowledge, skill",Do you have any questions for our computer expert today?,Các bạn có câu hỏi gì cho chuyên gia máy tính hôm nay không?,https://audio.tflat.vn/data/cache/images/300x225/e/x/expert1.png,https://audio.tflat.vn/audio/e/x/expert.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
156,follow up,"v, n.","(v) theo sau, bám riết",,"to continue, to take additional steps",Always follow up an interview with a thank-you note,Luôn bám sát một cuộc phỏng vấn với một lá thư cám ơn ngắn.,https://audio.tflat.vn/data/cache/images/300x225/f/o/follow_up3.jpg,https://audio.tflat.vn/audio/f/o/follow_up.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
157,hesitant,adj.,"Do dự, lưỡng lự, ngập ngừng",/'hezitənt/,slow to speak or act because you feel uncertain,Marla was hesitant about negotiating a higher salary.,Marla lưỡng lự về việc thương lượng một mức lương cao hơn.,https://audio.tflat.vn/data/cache/images/300x225/h/e/hesitant1.png,https://audio.tflat.vn/audio/h/e/hesitant.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
158,present,v.,"Đưa ra, bày tỏ, giới thiệu",/pri'zent/,"to give something to somebody, especially formally at a ceremony",He presented the report to his colleagues at the meeting.,Anh ta đã trình bày bản báo cáo của mình với đồng nghiệp ở cuộc họp.,https://audio.tflat.vn/data/images_example/300x225/h/e/he_present_ex1_56248cf47f8b9af80c011f8d.jpg,https://audio.tflat.vn/audio/p/r/present.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
159,weakly,adv.,"Một cách yếu ớt, yếu, ốm yếu",/'wi:kli/,in a weak way,Her hands trembled and she spoke weakly at the interview.,Tay cô ta run và cô ta nói giọng yếu ớt tại buổi phỏng vấn.,https://audio.tflat.vn/data/cache/images/300x225/w/e/weakly1.png,https://audio.tflat.vn/audio/w/e/weakly.mp3,Apply and Interviewing,https://tienganhtflat.com/blog/toeic-words-apply-and-interviewing,2026-07-24 17:22:34.132489
160,adjacent,adj.,"Kế bên, liền kề, sát cạnh",/ə'dʤeizənt/,next to or near something,My office is adjacent to the receptionist area on the third floor.,Văn phòng của tôi ở bên cạnh khu vực tiếp tân ở tầng ba.,https://audio.tflat.vn/data/cache/images/300x225/a/d/adjacent2.png,https://audio.tflat.vn/audio/a/d/adjacent.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
161,collaboration,n.,"Sự cộng tác, hợp tác","/kə,læbə'reiʃn/",the act of working with another person or group of people to create or produce something.,We believe that it was our collaboration that enabled us to achieve such favorable results.,Chúng ta tin rằng sự hợp tác của chúng ta cho phép đạt được những kết quả có lợi đến thế.,https://audio.tflat.vn/data/cache/images/300x225/c/o/collaboration2.png,https://audio.tflat.vn/audio/c/o/collaboration.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
162,concentrate,v.,Tập trung,/'kɔnsentreit/,to give all your attention to something and not think about anything else,I can’t concentrate because it’s very noisy.,Tớ không thể tập trung được vì quá ồn.,https://audio.tflat.vn/data/cache/images/300x225/c/o/concentrate2.png,https://audio.tflat.vn/audio/c/o/concentrate.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
163,conducive,adj.,"Có ích, có lợi",/kənˈdjuːsɪv/,"making it easy, possible, or likely for something to happen",The soft lights and music were conducive to a relaxed atmosphere.,Các đèn chiếu sáng nhẹ và nhạc sẽ có ích cho một bầu không khí thoải mái.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_soft_l_ex1_56248d167f8b9a040dc66044.jpg,https://audio.tflat.vn/audio/c/o/conducive.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
164,disruption,n.,‹sự› gián đoạn,/dis'rʌpʃn/,to make it difficult for something to continue in the normal way,The accident on the main road through town is causing widespread disruption for motorists.,Vụ tai nạn trên đường chính qua thị trấn đang gây ra sự gián đoạn trên diện rộng cho người lái xe.,https://audio.tflat.vn/data/cache/images/300x225/d/i/disruption2.png,https://audio.tflat.vn/audio/d/i/disruption.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
165,hamper,v.,"Cản trở, gây trở ngại",/'hæmpə/,to prevent someone from easily doing or achieving something,The lack of supplies hampered our ability to finish on schedule.,Việc thiếu đồ dự trữ đã gây trở ngại cho khả năng hoàn thành đúng thời gian của chúng tôi.,https://audio.tflat.vn/data/cache/images/300x225/h/a/hamper2.png,https://audio.tflat.vn/audio/h/a/hamper.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
166,inconsiderately,adv.,"Thiếu thận trọng, sơ suất",/ˌɪnkənˈsɪdərətli/,not giving enough thought to other people''s feeling or needs,The manager inconsiderately scheduled the meeting for late Friday afternoon.,Người giám đốc sơ suất lên lịch họp vào cuối buổi chiều thứ Sáu.,https://audio.tflat.vn/data/cache/images/300x225/i/n/inconsiderately.jpg,https://audio.tflat.vn/audio/i/n/inconsiderately.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
167,lobby,n.,"Hành lang, sảnh chờ",/'lɔbi/,a large area inside the entrance of a public building where people can meet and wait,The reception area was moved from the lobby of the building to the third floor.,Khu vực tiếp tân đã được chuyển từ hành lang của tòa nhà lên tầng ba.,https://audio.tflat.vn/data/cache/images/300x225/l/o/lobby1.png,https://audio.tflat.vn/audio/l/o/lobby_=_foyer.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
168,move up,v.,"Tiến lên, thăng tiến",/muːv ʌp /,"to advance, improve position","In order to move up in the company, employees had to demonstrate their loyalty.","Nhằm để thăng tiến trong công ty, các nhân viên phải biểu lộ lòng trung thành của họ.",https://audio.tflat.vn/data/cache/images/300x225/m/o/move_up1.png,https://audio.tflat.vn/audio/m/o/move_up.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
169,open to,adj.,"Gánh chịu, bị ",/ˈəʊpən tə /,,"Since the junior executive was still on probation, he was open to much scrutiny and criticism.","Bởi vì người nhân viên điều hành cấp thấp vẫn còn trong thời gian tập sự, anh hay bị săm soi và chỉ trích.",https://audio.tflat.vn/data/cache/images/300x225/o/p/open_to1.png,https://audio.tflat.vn/audio/o/p/open_to.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
170,opt,v.,"Chọn, chọn lựa; quyết định",/ɔpt/,"to choose, to decide on",The operations manager opted for the less expensive office design.,Trưởng phòng tác nghiệp đã chọn bản thiết kế văn phòng ít tốn kém.,https://audio.tflat.vn/data/cache/images/300x225/o/p/opt1.png,https://audio.tflat.vn/audio/o/p/opt.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
171,scrutiny,n., xem xét/kiểm tra kỹ lưỡng,/'skru:tini/,careful and thorough examination,Jim left his old job because he found it difficult to work under the close scrutiny of his boss.,Jim đã rời bỏ công việc cũ vì anh thấy khó làm việc dưới sự săm sõi kỹ lưỡng của sếp.,https://audio.tflat.vn/data/cache/images/300x225/s/c/scrutiny2.png,https://audio.tflat.vn/audio/s/c/scrutiny.mp3,Property & Departments,https://tienganhtflat.com/blog/toeic-words-property-departments,2026-07-24 17:22:34.132489
172,appreciation,n.,Sự cảm kích,"/ə,pri:ʃi'eiʃn/",pleasure that you have when you recognize good qualities,She shows little appreciation of good music.,Cô ấy cho thấy một chút sự đánh giá cao về thẩm mỹ âm nhạc tốt.,https://audio.tflat.vn/data/cache/images/300x225/a/p/appreciation2.jpg,https://audio.tflat.vn/audio/a/p/appreciation.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
173,be made of,v.,Làm bằng (cái gì),/bi: meɪd əv/,be produced of,This job will really test what you are made of.,Công việc này sẽ thật sự kiểm tra xem anh là người thế nào.,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_made_of2.jpg,https://audio.tflat.vn/audio/b/e/be_made_of.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
174,bring in,,"Tuyển dụng, dẫn tới",/brɪŋ ɪn/,to hire or recruit,The company brings in new team of project planners.,Công ty thuê một đội mới cho các nhà hoạch định dự án.,https://audio.tflat.vn/data/cache/images/300x225/b/r/bring_in2.jpg,https://audio.tflat.vn/audio/b/r/bring_in.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
619,collaborate,verb,hợp tác,/kəˈlæbəreɪt/,to work together,Our teams collaborated successfully.,Các nhóm của chúng tôi đã hợp tác thành công.,,,Business,,2026-07-24 17:36:44.573617
175,casually,adv.,"Bình thường, không trịnh trọng",/ˈkæʒuəli/,not showing much care or throught,"On Fridays, most employees dress casually.","Vào các thứ Sáu, phần lớn nhân viên ăn mặc tùy ý (không mặc đồng phục).",https://audio.tflat.vn/data/cache/images/300x225/c/a/casually1.png,https://audio.tflat.vn/audio/c/a/casually.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
176,code,n.,"Quy tắc, luật lệ",/koud/,a set moral principles or rules of behaviour,Even the most traditional companies are changing their dress code to something less formal.,Thậm chí hầu hết các công ty theo lối cổ cũng đang thay đổi quy tắc ăn mặc của họ sao cho bớt trịnh trọng đi.,https://audio.tflat.vn/data/images_example/300x225/e/v/even_the_m_ex1_56248d157f8b9a040dc65e38.jpg,https://audio.tflat.vn/audio/c/o/code.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
177,expose,v.,"Phơi bày, bộc lộ",/iks'pouz/,to show something that is usually hidden,He did not want to expose his fears and insecurity to anyone.,Anh ấy không muốn để lộ sự sợ hãi và bất an của mình cho bất cứ ai.,https://audio.tflat.vn/data/images_example/300x225/h/e/he_did_not_ex1_56248d157f8b9a040dc65e3c.png,https://audio.tflat.vn/audio/e/x/expose.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
178,glimpse,n.,Cái nhìn lướt qua,/ɡlɪmps/,a look at somebody / something for a very short time,The secretary caught a glimpse of her new boss as she was leaving the office.,Cô thư ký bắt gặp ánh mắt lướt qua của người chủ mới khi cô ấy rời khỏi văn phòng.,https://audio.tflat.vn/data/cache/images/300x225/g/l/glimpse1.jpg,https://audio.tflat.vn/audio/g/l/glimpse.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
179,out of,adj.,"Hết, không còn",/aʊt əv/,no longer having,The presenter ran out of time before he reached his conclusion.,Người dẫn chương trình đã hết thời gian trước khi anh ta đi đến kết luận.,https://audio.tflat.vn/data/cache/images/300x225/o/u/out_of2.jpg,https://audio.tflat.vn/audio/o/u/out_of.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
180,outdated,adj.,"Hết hạn; lỗi thời, lạc hậu, cổ, hiện nay không còn dùng (obsolete)",/aut'deitid/,not currently in use,"Before you do a mailing, make sure that none of the addresses is outdated.","Trước khi anh gửi thư, hãy bảo đảm rằng không có địa chỉ nào hiện không còn sử dụng",https://audio.tflat.vn/data/cache/images/300x225/o/u/outdated1.jpg,https://audio.tflat.vn/audio/o/u/outdated.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
181,practice,v.,"Thực hành, rèn luyện ",/'præktis/,action rather than ideas,Bill practiced answering the telephone until he was satisfied.,Bill thực tập trả lời điện thoại cho đến khi anh ta cảm thấy hài lòng.,https://audio.tflat.vn/data/cache/images/300x225/p/r/practice1.jpeg,https://audio.tflat.vn/audio/p/r/practice.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
182,reinforce,v.,"Tăng cường, củng cố","/,ri:in'fɔ:s/","to make a feeling, an idea, etc. stronger",Employees reinforced their learning with practice in the workplace.,Các nhân viên củng cố kiến thức của mình bằng việc thực hành ở nơi làm việc.,https://audio.tflat.vn/data/images_example/300x225/e/m/employees__ex1_56248d157f8b9a040dc65e44.jpg,https://audio.tflat.vn/audio/r/e/reinforce.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
183,verbally,adv.,"Bằng miệng, bằng lời nói",/'və:bəli/,in spoken words and not in writing or actions,The guarantee was made only verbally.,Sự bảo đảm được cam kết chỉ bằng lời.,https://audio.tflat.vn/data/cache/images/300x225/v/e/verbally1.jpg,https://audio.tflat.vn/audio/v/e/verbally.mp3,Office Procedures,https://tienganhtflat.com/blog/toeic-words-office-procedures,2026-07-24 17:22:34.132489
184,movie,n.,"Phim, điện ảnh",/'mu:vi/,,I like watching movies very much.,Tôi thích xem phim rất nhiều.,https://audio.tflat.vn/data/cache/images/300x225/m/o/movie2.jpg,https://audio.tflat.vn/audio/m/o/movie.mp3,Movies,https://tienganhtflat.com/blog/toeic-words-movies,2026-07-24 17:22:34.132489
185,attainment,n.,"Sự đạt được, thành tựu",/ə'teinmənt/,something that you achieved,The attainment of his ambitions was still a dream.,Việc đạt được những tham vọng của ông vẫn còn là một giấc mơ.,https://audio.tflat.vn/data/cache/images/300x225/a/t/attainment1.png,https://audio.tflat.vn/audio/a/t/attainment.mp3,Movies,https://tienganhtflat.com/blog/toeic-words-movies,2026-07-24 17:22:34.132489
186,combine,v.,"Kết hợp, phối hợp",/'kɔmbain/,to come together to form a single thing or group,The director combined two previously separate visual techniques.,Đạo diễn đã kết hợp 2 kỹ xảo hình ảnh riêng biệt trước đây lại với nhau.,https://audio.tflat.vn/data/cache/images/300x225/c/o/combine1.png,https://audio.tflat.vn/audio/c/o/combine.mp3,Movies,https://tienganhtflat.com/blog/toeic-words-movies,2026-07-24 17:22:34.132489
187,continue,v.,"Tiếp tục, duy trì",/kənˈtɪnjuː/,happening without stopping,He continued to ignore everything I was saying.,Anh ta tiếp tục bỏ qua tất cả những gì tôi nói.,https://audio.tflat.vn/data/images_example/300x225/h/e/he_continu_ex1_56248cef7f8b9af60c1430bb.jpg,https://audio.tflat.vn/audio/c/o/continue.mp3,Movies,https://tienganhtflat.com/blog/toeic-words-movies,2026-07-24 17:22:34.132489
