id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,entertainment career,noun,sự nghiệp trong ngành giải trí,/ˌentəˈteɪnmənt kəˈrɪr/,Quá trình nghề nghiệp của một người trong lĩnh vực giải trí.,She began her entertainment career as a television presenter.,Cô ấy bắt đầu sự nghiệp giải trí với vai trò người dẫn chương trình truyền hình.,,,medium,B1,600,common,show-business career,,"entertain, entertainment, entertainer, career","successful entertainment career, long entertainment career",,pursue an entertainment career,Không nhầm career với job.,Career nói về quá trình nghề nghiệp lâu dài.,Jobs / Recruitment,career = con đường nghề nghiệp,association,Sự nghiệp trong ngành giải trí.,TRUE,2,,
,entertainment center,noun phrase,trung tâm giải trí,/ˌentəˈteɪnmənt ˈsentə(r)/,Địa điểm cung cấp nhiều hoạt động vui chơi và giải trí.,The new entertainment center attracts many families.,Trung tâm giải trí mới thu hút nhiều gia đình.,,,easy,B1,550,common,recreation center,,"entertain, entertainment","entertainment center, family entertainment center",,center for + activities,Không nhầm entertainment với entertainer.,Entertainment chỉ hoạt động/ngành giải trí.,Hospitality / Entertainment,entertainment = giải trí,word_family,Entertain → entertainment,TRUE,2,,
,entertainment channel,noun,kênh giải trí,/ˌentəˈteɪnmənt ˈtʃænəl/,Kênh truyền hình hoặc phương tiện chuyên phát nội dung giải trí.,The company launched a new entertainment channel last month.,Công ty đã ra mắt một kênh giải trí mới vào tháng trước.,,,medium,B1,600,common,entertainment network,,"entertain, entertainment, entertainer","television channel, cable channel, entertainment channel",,entertainment channel for + audience,Không nhầm channel với program.,Thường dùng cho truyền hình hoặc nền tảng truyền thông.,Media,entertainment + channel = kênh chuyên giải trí,word_family,Kênh chuyên phát nội dung giải trí.,TRUE,2,,
,entertainment event,noun phrase,sự kiện giải trí,/ˌentəˈteɪnmənt ɪˈvent/,an organized event intended to entertain people,The city hosted a large entertainment event.,Thành phố tổ chức một sự kiện giải trí lớn.,,,medium,B2,650,medium,"entertainment activity, show",—,"entertain, entertainment","entertainment event, major event",entertain sb,an event for entertainment,"Broad expression covering concerts, shows, festivals, etc.",Used for organized entertainment activities.,Entertainment & Events,entertainment = fun,association,Event designed to entertain.,TRUE,3,,
,entertainment expense,noun,chi phí tiếp khách/giải trí,/ˌentəˈteɪnmənt ɪkˈspens/,Khoản chi cho hoạt động giải trí hoặc tiếp khách vì mục đích kinh doanh.,The company reimburses reasonable entertainment expenses.,Công ty hoàn trả các khoản chi phí tiếp khách hợp lý.,,,medium,B2,700,common,entertainment cost,,"entertain, entertainment, expense","business entertainment expense, entertainment expenses",,reimburse an entertainment expense,Không nhầm entertainment expense với personal expense.,"Trong Business thường liên quan đến tiếp khách, khách hàng hoặc đối tác.",Finance,entertainment = tiếp khách/giải trí,association,entertainment expense = chi phí tiếp khách,TRUE,3,,
,entertainment festival,noun phrase,lễ hội giải trí,/ˌentərˈteɪnmənt ˈfestɪvəl/,"Sự kiện lớn tổ chức các hoạt động, chương trình hoặc màn trình diễn nhằm giải trí.",The city hosts an entertainment festival every summer.,Thành phố tổ chức một lễ hội giải trí vào mỗi mùa hè.,,,medium,B2,700,uncommon,entertainment event,,"entertain, entertainment, festival","annual entertainment festival, music festival",,host an entertainment festival,Không nhầm festival với single performance; festival thường gồm nhiều hoạt động.,"Dùng trong du lịch, sự kiện và giải trí.",Entertainment,festival = lễ hội,association,Entertainment festival = lễ hội có nhiều hoạt động giải trí.,FALSE,3,,
,entertainment franchise,noun,thương hiệu/chuỗi sản phẩm giải trí,/ˌentərˈteɪnmənt ˈfræntʃaɪz/,"Thương hiệu giải trí được phát triển thành nhiều sản phẩm, tác phẩm hoặc dịch vụ liên quan.",The studio plans to expand its entertainment franchise into new markets.,Hãng phim dự định mở rộng thương hiệu giải trí của mình sang các thị trường mới.,,,hard,C1,850,uncommon,"media franchise, entertainment brand",,"entertain, entertainment, franchise","entertainment franchise, successful franchise, global franchise",expand into,franchise based on + property,"Không nhầm franchise ở đây với mô hình nhượng quyền cửa hàng; trong entertainment, franchise thường là một thương hiệu/tài sản được phát triển thành nhiều sản phẩm.",Thường gặp trong media business.,Business,franchise = thương hiệu được mở rộng,association,entertainment franchise = chuỗi thương hiệu giải trí,TRUE,5,,
,entertainment industry,noun phrase,ngành công nghiệp giải trí,/ˌentərˈteɪnmənt ˈɪndəstri/,"Ngành kinh tế liên quan đến phim ảnh, âm nhạc, truyền hình và các hoạt động giải trí.",She hopes to build a career in the entertainment industry.,Cô ấy hy vọng xây dựng sự nghiệp trong ngành công nghiệp giải trí.,,,medium,B2,700,common,show business,,"entertain, entertainment, entertaining","entertainment industry, entertainment business",,career in + industry,Không nhầm entertainment với entertainment industry.,Cụm từ phổ biến khi nói về lĩnh vực nghề nghiệp và kinh doanh giải trí.,Entertainment,entertainment + industry,association,Entertainment industry = ngành giải trí,TRUE,3,,
,entertainment magazine,noun phrase,tạp chí giải trí,/ˌentərˈteɪnmənt ˌmæɡəˈziːn/,"Tạp chí chuyên về người nổi tiếng, phim ảnh, âm nhạc và giải trí.",She works for a popular entertainment magazine.,Cô ấy làm việc cho một tạp chí giải trí nổi tiếng.,,,easy,B1,600,common,"celebrity magazine, showbiz magazine",,"entertain, entertainment","entertainment magazine, popular magazine, monthly magazine",,magazine about + entertainment,Không nhầm magazine với newspaper; magazine thường xuất bản theo kỳ.,Phổ biến trong lĩnh vực giải trí.,Entertainment,entertainment = giải trí,association,entertainment magazine = tạp chí giải trí,TRUE,2,,
,entertainment marketing,noun,tiếp thị giải trí,/ˌentərˈteɪnmənt ˈmɑːrkɪtɪŋ/,Hoạt động marketing trong ngành giải trí.,Entertainment marketing often uses celebrities to attract audiences.,Tiếp thị giải trí thường sử dụng người nổi tiếng để thu hút khán giả.,,,hard,C1,800,uncommon,,,"entertain, entertainment, market, marketing",entertainment marketing campaign,,marketing for + industry,"Không hiểu entertainment marketing chỉ là quảng cáo phim; nó rộng hơn, bao gồm ngành giải trí nói chung.",Thuật ngữ chuyên ngành marketing.,Marketing,entertainment + marketing,association,entertainment marketing = marketing ngành giải trí,FALSE,4,,
,entertainment news,noun,tin tức giải trí,/ˌentərˈteɪnmənt nuːz/,"Tin tức về người nổi tiếng, phim, âm nhạc và ngành giải trí.",The website publishes entertainment news every day.,Trang web đăng tin tức giải trí mỗi ngày.,,,medium,B2,650,common,showbiz news,,"entertain, entertainment",entertainment news website; entertainment news program,,publish entertainment news,Entertainment news thường không chỉ giới hạn ở celebrity news.,Cụm phổ biến trong báo chí và website.,Media / Entertainment,entertainment + news,association,Entertainment news = tin giải trí,TRUE,2,,
,entertainment portal,noun phrase,cổng thông tin giải trí,/ˌentərˈteɪnmənt ˈpɔːrtl/,Website hoặc nền tảng tập hợp nhiều nội dung và dịch vụ giải trí.,The entertainment portal publishes celebrity news and movie reviews.,Cổng thông tin giải trí đăng tin về người nổi tiếng và đánh giá phim.,,,medium,B2,700,uncommon,"entertainment website, media portal",,"entertain, entertainment","online entertainment portal, digital entertainment portal",,portal for + content,Không nhầm portal với portal account; ở đây portal là cổng truy cập nhiều nội dung.,Thường dùng trong truyền thông trực tuyến.,Media,portal = cổng vào nhiều nội dung,visual,entertainment portal = cổng giải trí,TRUE,3,,
,entertainment reporter,noun,phóng viên giải trí,/ˌentərˈteɪnmənt rɪˈpɔːrtər/,a journalist who reports on entertainment news,The entertainment reporter interviewed the actor.,Phóng viên giải trí phỏng vấn nam diễn viên.,,,medium,B2,750,low,entertainment journalist,,"report, reporter, reporting",entertainment reporter; celebrity reporter,report on sth,reporter covering entertainment,Reporter is a person; report can be a noun or verb.,"Covers movies, music, celebrities, and events.",Media & Journalism,reporter reports,word formation,report + -er = reporter.,TRUE,4,,
,entertainment review,noun phrase,bài đánh giá giải trí,/ˌentərˈteɪnmənt rɪˈvjuː/,"Bài viết đánh giá phim, chương trình, sách hoặc sản phẩm giải trí.",I read an entertainment review before watching the film.,Tôi đọc một bài đánh giá giải trí trước khi xem bộ phim.,,,medium,B2,700,common,"entertainment critique, review",,"entertain, entertainment, review, reviewer","film review, entertainment review, critical review",,review + entertainment product,Không nhầm review là chỉ nhận xét của khách hàng; trong báo chí nó có thể là bài phê bình.,Thường dùng trong báo chí và truyền thông.,Entertainment,review = xem xét/đánh giá,association,entertainment review = bài đánh giá giải trí,TRUE,3,,
,entertainment venue,noun phrase,địa điểm giải trí,/ˌentəˈteɪnmənt ˈvenjuː/,a place where people go for entertainment,The hotel is close to several entertainment venues.,Khách sạn nằm gần một số địa điểm giải trí.,,,medium,B2,700,medium,entertainment facility,—,"entertain, entertainment, entertaining","entertainment venue, popular venue",—,an entertainment venue,Venue means a place where an event happens,Common in travel and event contexts.,Tourism / Entertainment,venue = nơi tổ chức → entertainment venue,word association,"Think of theaters, clubs, and concert halls",TRUE,2,,
,entertainment website,noun phrase,trang web giải trí,/ˌentəˈteɪnmənt ˈwebsaɪt/,a website providing entertainment-related content,The entertainment website published an interview with the actor.,Trang web giải trí đã đăng một cuộc phỏng vấn với diễn viên.,,,medium,B2,650,medium,"entertainment portal, media website",—,"entertain, entertainment, entertainer","entertainment website, entertainment news",—,website + for + entertainment,Confusing entertainment with event,"Covers celebrity, music, movies, and related content.",Media,Entertainment = giải trí,association,Entertainment website = website để giải trí,TRUE,3,,
,enthusiasm,noun,sự nhiệt tình; hăng hái,/ɪnˈθuːziæzəm/,Cảm giác hào hứng và nhiệt tình đối với một việc.,Her enthusiasm for the project motivated the entire team.,Sự nhiệt tình của cô ấy đối với dự án đã tạo động lực cho cả nhóm.,,,medium,B2,700,common,"eagerness, excitement, passion","apathy, indifference","enthusiastic, enthusiastically, enthusiast","enthusiasm for, great enthusiasm, show enthusiasm",,enthusiasm for + noun/V-ing,Không dùng enthusiasm about trong mọi trường hợp; for thường tự nhiên khi nói sự nhiệt tình đối với việc gì.,Thường dùng để mô tả thái độ làm việc.,Jobs / Recruitment; Office,enthusiastic → enthusiasm,word_family,enthusiasm for = nhiệt tình với,TRUE,3,,
,entire,adjective,toàn bộ; toàn thể,/ɪnˈtaɪər/,"Bao gồm tất cả các phần của một thứ, không bỏ sót phần nào.",The entire staff attended the annual meeting.,Toàn bộ nhân viên đã tham dự cuộc họp thường niên.,,,easy,B1,500,extremely common,"whole, complete, total","partial, part",entirely,"entire company, entire staff, entire process",,the entire + singular noun,Không nói “entire of the employees”; dùng the entire staff hoặc all the employees.,Entire thường đứng trước danh từ.,Business / Office,entire = whole,association,entire = toàn bộ,TRUE,2,,
,entitle,verb,cho quyền; có quyền; đặt tên,/ɪnˈtaɪtəl/,Cho ai đó quyền được nhận hoặc sử dụng thứ gì; cũng có nghĩa đặt tên cho tác phẩm.,This membership entitles customers to a 10% discount.,Thẻ thành viên này cho khách hàng quyền được giảm giá 10%.,,,medium,C1,800,common,"authorize, qualify, permit","deprive, disqualify","entitlement, entitled","entitle someone to, be entitled to",,entitle someone to + noun; be entitled to + noun/V,Không nhầm entitle với title; cấu trúc quan trọng là be entitled to.,Rất hay gặp trong quyền lợi khách hàng và nhân viên.,Business / Benefits,entitled to = có quyền được nhận.,grammar,be entitled to + noun/V.,TRUE,4,,
,entrance,noun,lối vào; sự gia nhập,/ˈentrəns/,Lối hoặc cửa để đi vào một nơi; cũng có thể chỉ hành động bước vào/gia nhập.,The main entrance is closed for renovation.,Lối vào chính đang đóng cửa để sửa chữa.,,,easy,A2,400,extremely common,entry; doorway,exit,enter; entrance,main entrance; entrance hall; entrance to the building,,entrance to + place,"Không nhầm entrance với entry; entrance thường chỉ lối/cửa vào, entry thường chỉ việc vào hoặc quyền vào.","Phổ biến trong Travel, Buildings và Office.",Travel,enter → entrance = nơi đi vào,word_family,entrance = lối vào,TRUE,1,,
,entrance fee,noun phrase,phí vào cửa,/ˈentrəns fiː/,Khoản tiền phải trả để được vào một địa điểm.,The museum charges an entrance fee.,Bảo tàng thu phí vào cửa.,,,easy,B1,600,extremely common,admission fee,,enter; entrance,entrance fee; entrance fee per person,,charge an entrance fee; pay an entrance fee,Không nhầm entrance fee với ticket; fee là khoản phí.,Rất phổ biến trong thông báo du lịch và địa điểm tham quan.,Travel,"entrance = lối vào, fee = phí",association,entrance fee = phí vào cửa,TRUE,2,,
,entrance hall,noun phrase,sảnh vào; hành lang lối vào,/ˈentrəns hɔːl/,Khu vực ngay bên trong lối vào của một ngôi nhà hoặc tòa nhà.,The entrance hall has a large coat closet.,Sảnh vào có một tủ áo lớn.,,,easy,B1,500,common,"foyer, entryway",,"enter, entrance","main entrance hall, spacious entrance hall",,entrance to + building,"Không nhầm entrance với entrance hall; entrance là lối vào, entrance hall là khu vực bên trong lối vào.",Foyer phổ biến trong mô tả nhà ở và khách sạn.,Property / Hospitality,"entrance = lối vào, hall = sảnh",association,entrance hall = sảnh lối vào,TRUE,2,,
,entrance ticket,noun phrase,vé vào cửa,/ˈentrəns ˈtɪkɪt/,Vé cho phép vào một địa điểm hoặc sự kiện.,The entrance ticket includes access to the museum and garden.,Vé vào cửa bao gồm quyền tham quan bảo tàng và khu vườn.,,,easy,A2,400,common,admission ticket,,"enter, entrance","entrance ticket, entrance fee, entrance ticket price",,pay for/buy an entrance ticket,Entrance ticket và admission ticket đều tự nhiên.,Thường dùng cho điểm tham quan và sự kiện.,Travel,entrance = vào → ticket để vào,association,entrance ticket = vé vào cửa,TRUE,1,,
,entrepreneur,noun,doanh nhân; người khởi nghiệp,/ˌɑːntrəprəˈnɜːr/,"Người thành lập hoặc điều hành một doanh nghiệp, thường chấp nhận rủi ro để kinh doanh.",The young entrepreneur founded a technology company.,Doanh nhân trẻ đã thành lập một công ty công nghệ.,,,hard,C1,850,common,"business owner, founder, innovator",employee,"entrepreneurship, entrepreneurial","successful entrepreneur, young entrepreneur, social entrepreneur",,entrepreneur who + verb,Không đồng nghĩa hoàn toàn với businessman: entrepreneur thường nhấn mạnh việc tạo dựng/khởi nghiệp.,Từ quan trọng trong Business.,Business / Entrepreneurship,entrepreneur = người biến ý tưởng thành doanh nghiệp.,association,successful entrepreneur = doanh nhân thành đạt,TRUE,5,,
,entry,noun,sự vào; việc nhập cảnh; lối vào,/ˈentri/,Việc đi vào một nơi hoặc được phép nhập cảnh.,Visitors must show their passports at the entry point.,Du khách phải xuất trình hộ chiếu tại điểm nhập cảnh.,,,easy,B1,500,extremely common,"admission, entrance",exit,"enter, entrant","entry point, entry requirement, entry fee",,entry into + place,Không dùng entry và entrance hoàn toàn thay thế nhau trong mọi trường hợp.,Entry thường nhấn mạnh việc được vào hoặc quá trình vào.,Travel,entry = enter + y,word_family,entry requirement = yêu cầu nhập cảnh,TRUE,2,,
,entry barrier,noun phrase,rào cản gia nhập thị trường,/ˈentri ˈbæriər/,Yếu tố khiến doanh nghiệp mới khó gia nhập một thị trường.,High entry barriers protect established companies from new competitors.,Rào cản gia nhập cao bảo vệ các công ty lâu năm khỏi đối thủ mới.,,,medium,C1,850,common,barrier to entry,low entry barrier,"enter, entry, barrier","high entry barriers, market entry barrier",enter into,barrier to + noun,Cách dùng chuẩn trong kinh tế thường là “barrier to entry”.,Thuật ngữ Business Strategy.,Business / Strategy,barrier = something blocking entry,visual,entry barrier = thứ cản doanh nghiệp mới vào thị trường,TRUE,4,,
,entry cost,noun phrase,chi phí gia nhập,/ˈentri kɔːst/,Chi phí cần bỏ ra để gia nhập một thị trường hoặc lĩnh vực.,High entry costs discourage smaller companies from entering the market.,Chi phí gia nhập cao khiến các công ty nhỏ ngại tham gia thị trường.,,,medium,C1,800,common,"entry expense, market entry cost",low entry cost,"enter, entry, cost","high entry costs, market entry cost",enter into,cost of + entering,Không nhầm entry cost với operating cost; entry cost phát sinh khi bắt đầu tham gia.,Dùng trong Market Strategy.,Business / Finance,entry = going in,association,entry cost = chi phí để bước vào thị trường,TRUE,4,,
,entry gate,noun,cổng vào,/ˈentri ɡeɪt/,"a gate used to enter a building, station, venue, or restricted area",Please use the entry gate on the left.,Vui lòng sử dụng cổng vào bên trái.,,,easy,B1,500,common,entrance gate,exit gate,enter; entry,entry gate number; main entry gate,enter through,enter through + the gate,Entry gate and entrance are related but not always identical.,"Common at airports, stations, and events.",travel; facilities,entry = vào,contrast,Entry gate = gate for entering.,TRUE,2,,
,entry opportunity,noun phrase,cơ hội gia nhập/thâm nhập thị trường,/ˈentri ˌɑːpərˈtuːnəti/,Cơ hội để một doanh nghiệp tiến vào một thị trường hoặc lĩnh vực mới.,The acquisition provided an entry opportunity into the Asian market.,Thương vụ mua lại mang lại cơ hội thâm nhập thị trường châu Á.,,,medium,C1,850,uncommon,market entry opportunity,market barrier,enter; entry; opportunity,market entry opportunity; identify entry opportunities,enter into,opportunity to enter + market,Entry opportunity thường cần ngữ cảnh để xác định “gia nhập” hay “thâm nhập”.,Dùng trong chiến lược thị trường.,Marketing,entry = đi vào,visual,entry opportunity = cơ hội để bước vào thị trường,FALSE,4,,
,entry permit,noun phrase,giấy phép nhập cảnh,/ˈentri ˈpɜːrmɪt/,Giấy phép cho phép một người được nhập cảnh vào một khu vực hoặc quốc gia.,Visitors must obtain an entry permit before entering the restricted area.,Du khách phải xin giấy phép nhập cảnh trước khi vào khu vực hạn chế.,,,hard,B2,750,uncommon,entry authorization,entry ban,permit,"entry permit, valid entry permit",,obtain/require an entry permit,Permit có thể là danh từ hoặc động từ.,"Thường dùng trong bối cảnh biên giới, khu vực hạn chế hoặc quốc gia yêu cầu giấy phép.",Travel,permit = cho phép,association,entry permit = giấy phép được vào,TRUE,4,,
,entry requirement,noun phrase,yêu cầu nhập cảnh,/ˈentri rɪˈkwaɪərmənt/,Điều kiện cần đáp ứng để được nhập cảnh vào một quốc gia hoặc địa điểm.,Check the entry requirements before booking your flight.,Hãy kiểm tra các yêu cầu nhập cảnh trước khi đặt chuyến bay.,,,medium,B2,700,common,admission requirement,,"enter, entry, require, requirement","entry requirement, visa requirement, entry requirements",,entry requirements for + country,Requirement thường dùng ở dạng số nhiều khi nói về nhiều điều kiện.,"Thường liên quan visa, hộ chiếu và giấy tờ.",Travel,requirement = điều bắt buộc,association,entry requirement = yêu cầu để được vào,TRUE,3,,
,entry visa,noun,thị thực nhập cảnh,/ˈentri ˈviːzə/,official permission allowing someone to enter a country,She applied for an entry visa.,Cô ấy đã xin thị thực nhập cảnh.,,,medium,B2,750,common,entry permit,exit visa,enter; entry,entry visa application; valid entry visa,apply for,apply for + an entry visa,Visa is pronounced /ˈviːzə/.,Requirements vary by destination.,travel; immigration,entry = vào,word association,Entry visa lets you enter.,TRUE,3,,
,entr茅e,noun,,,Dạng entr茅e không phải spelling tiếng Anh chuẩn; nhiều khả năng là lỗi mã hóa của entrée.,,,,,medium,B1,500,uncommon,,,,,,,Không nên đưa entr茅e vào dataset chuẩn như một từ tiếng Anh; spelling chuẩn cần xác minh là entrée.,entr茅e có dấu hiệu lỗi encoding nên không nên tự sửa vì input yêu cầu giữ nguyên.,General,,,,FALSE,2,,
,envelope,noun,phong bì,/ˈenvəloʊp/,Vật bằng giấy dùng để đựng thư hoặc tài liệu.,Please put the documents in an envelope.,Vui lòng cho tài liệu vào phong bì.,,,easy,A2,400,extremely common,"mailer, packet",,"envelop, enveloped","business envelope, sealed envelope, envelope size",,envelope for + document,envelope khác folder: envelope thường dùng để gửi thư/tài liệu.,Hay gặp trong Office/Mail.,Office / Mail,envelope = vật bao bên ngoài lá thư.,visual,Hình dung một lá thư nằm trong phong bì.,TRUE,1,,
,environment,noun,môi trường; hoàn cảnh xung quanh,/ɪnˈvaɪrənmənt/,"Điều kiện và hoàn cảnh xung quanh một người, tổ chức hoặc sinh vật.",We need to protect the environment.,Chúng ta cần bảo vệ môi trường.,,,easy,B1,500,extremely common,"surroundings, setting, ecosystem",,"environmental, environmentally","work environment, natural environment, business environment",,environment for + noun,Có thể chỉ môi trường tự nhiên hoặc môi trường làm việc.,Cực kỳ hay gặp trong TOEIC Reading.,Environment / Workplace,environ = xung quanh → environment = môi trường xung quanh.,word_family,work environment = môi trường làm việc,TRUE,2,,
,environmental,adjective,thuộc môi trường,/ɪnˌvaɪrənˈmentəl/,Liên quan đến môi trường tự nhiên hoặc tác động lên môi trường.,The factory must meet environmental standards.,Nhà máy phải đáp ứng các tiêu chuẩn môi trường.,,,medium,B1,600,extremely common,ecological; green,nonenvironmental,environment; environmentally,environmental standards; environmental impact; environmental protection,,environmental + noun,"Không nhầm environment với environmental; environment là danh từ, environmental là tính từ.",Rất phổ biến trong TOEIC Environment và Manufacturing.,Environment,environment → environmental,word_family,environmental standards = tiêu chuẩn môi trường,TRUE,3,,
,environmental agency,noun,cơ quan môi trường,/ɪnˌvaɪrənˈmentəl ˈeɪdʒənsi/,Cơ quan chịu trách nhiệm quản lý hoặc bảo vệ môi trường.,The environmental agency inspected the factory.,Cơ quan môi trường đã kiểm tra nhà máy.,,,medium,B2,700,common,environmental authority,,"environment, environmental, agency","environmental agency, government agency, regulatory agency",,report to an agency,Agency có thể là cơ quan chính phủ hoặc tổ chức cung cấp dịch vụ; cần dựa vào ngữ cảnh.,Trong TOEIC thường liên quan quy định và kiểm tra.,Environment / Government,agency = cơ quan.,association,environmental agency = cơ quan môi trường,TRUE,3,,
,environmental assessment,noun phrase,đánh giá môi trường,/ɪnˌvaɪərənˈmentl əˈsesmənt/,Quá trình đánh giá tác động của một dự án đối với môi trường.,An environmental assessment is required before construction begins.,Cần đánh giá môi trường trước khi bắt đầu xây dựng.,,,hard,B2,750,uncommon,environmental evaluation,,"assess, assessment","environmental impact assessment, environmental assessment report",,assessment of + noun,Không nhầm assessment với treatment.,Thường xuất hiện trong các dự án xây dựng và cơ sở hạ tầng.,General,assess = đánh giá,word_family,assessment = kết quả/quá trình đánh giá,TRUE,3,,
,environmental audit,noun,kiểm toán môi trường,/ɪnˌvaɪərənˈmentəl ˈɔːdɪt/,Quá trình đánh giá hoạt động của tổ chức về tuân thủ và tác động môi trường.,The factory undergoes an environmental audit every year.,Nhà máy trải qua một cuộc kiểm toán môi trường mỗi năm.,,,medium,C1,800,common,environmental assessment,,"audit, auditor, audited","conduct an environmental audit, annual environmental audit",,conduct/undergo an audit,"Không nhầm audit với inspection; audit thường đánh giá có hệ thống, inspection thiên về kiểm tra.",Dùng trong quản lý doanh nghiệp và tuân thủ.,Business,audit = kiểm toán → environmental audit,association,environmental audit = kiểm toán môi trường,TRUE,4,,
,environmental benefit,noun phrase,lợi ích môi trường,/ɪnˌvaɪrənˈmentəl ˈbenɪfɪt/,Lợi ích mà một hoạt động hoặc giải pháp mang lại cho môi trường.,The project offers significant environmental benefits.,Dự án mang lại những lợi ích đáng kể cho môi trường.,,,medium,B2,700,common,ecological benefit,environmental harm,"benefit, beneficial","environmental benefits, major environmental benefit",,benefit of + noun,Không nhầm benefit với beneficial về từ loại.,Benefit có thể đếm được trong ngữ cảnh này.,Environment,benefit for the environment,association,Environmental benefit = lợi ích cho môi trường,TRUE,3,,
,environmental campaign,noun,chiến dịch môi trường,/ɪnˌvaɪrənˈmentəl kæmˈpeɪn/,Chiến dịch nhằm nâng cao nhận thức hoặc thúc đẩy hành động bảo vệ môi trường.,The company launched an environmental campaign for employees.,Công ty phát động một chiến dịch môi trường dành cho nhân viên.,,,easy,B1,600,common,environmental initiative,,"environment, environmental, campaign","environmental awareness campaign, environmental campaign",launch,campaign to + verb,Không nhầm campaign với event; campaign thường là chuỗi hoạt động có mục tiêu.,"Dùng trong marketing, CSR và cộng đồng.",Environment / Marketing,campaign = chiến dịch,association,environmental campaign = chiến dịch môi trường,TRUE,3,,
,environmental certification,noun phrase,chứng nhận môi trường,/ɪnˌvaɪrənˈmentəl ˌsɜːrtɪfɪˈkeɪʃən/,Chứng nhận xác nhận doanh nghiệp hoặc sản phẩm đáp ứng tiêu chuẩn môi trường.,The factory obtained environmental certification last year.,Nhà máy đã đạt chứng nhận môi trường vào năm ngoái.,,,hard,B2,750,common,environmental accreditation,,"environment, environmental, certify, certification","environmental certification, obtain certification",,certification for + noun,Certification là quá trình hoặc trạng thái được chứng nhận.,Thường gặp trong sustainability và manufacturing.,Manufacturing / Environment,certification = certificate process/status,word_family,certification = sự chứng nhận,TRUE,4,,
,environmental cleanup,noun,hoạt động làm sạch môi trường,/ɪnˌvaɪrənˈmentəl ˈkliːnʌp/,Hoạt động loại bỏ chất thải hoặc chất ô nhiễm khỏi môi trường.,The company funded an environmental cleanup near the river.,Công ty tài trợ hoạt động làm sạch môi trường gần con sông.,,,medium,B2,700,common,environmental remediation,environmental pollution,"environment, environmental, clean, cleanup","environmental cleanup project, cleanup operation",clean up,cleanup of + area,Cleanup là danh từ; clean up là phrasal verb.,Thường gặp trong môi trường và trách nhiệm doanh nghiệp.,Environment,clean up the environment,word_family,environmental cleanup = làm sạch môi trường,TRUE,4,,
,environmental compliance,noun phrase,tuân thủ quy định môi trường,/ɪnˌvaɪrənˈmentəl kəmˈplaɪəns/,"Việc tuân thủ luật, quy định và tiêu chuẩn về môi trường.",The company reviews its environmental compliance regularly.,Công ty thường xuyên xem xét việc tuân thủ các quy định môi trường.,,,hard,B2,750,common,regulatory compliance,,"comply, compliance, environmental","environmental compliance, compliance requirements",,compliance with + noun,"Compliance đi với with, không phải to.",Thuật ngữ phổ biến trong business regulation.,Environment / Business,comply with rules,word_family,compliance with = tuân thủ,TRUE,4,,
,environmental condition,noun phrase,điều kiện môi trường,/ɪnˌvaɪrənˈmentəl kənˈdɪʃən/,"Điều kiện môi trường như nhiệt độ, độ ẩm hoặc ánh sáng ảnh hưởng đến hoạt động.",The equipment must operate under controlled environmental conditions.,Thiết bị phải hoạt động trong điều kiện môi trường được kiểm soát.,,,medium,B2,700,common,environmental factor,,"environment, environmental, condition","environmental conditions, controlled conditions",,condition of + noun,Thường dùng số nhiều khi đề cập nhiều yếu tố môi trường.,"Dùng trong kỹ thuật, sản xuất và an toàn.",Manufacturing / Safety,environment + condition,association,environmental conditions = điều kiện môi trường,TRUE,3,,
,environmental education,noun,giáo dục môi trường,/ɪnˌvaɪrənˈmentəl ˌedʒuˈkeɪʃən/,Giáo dục nhằm nâng cao hiểu biết và ý thức về môi trường.,The company supports environmental education in local schools.,Công ty hỗ trợ giáo dục môi trường tại các trường học địa phương.,,,medium,B1,600,common,environmental awareness education,environmental ignorance,"environment, environmental, educate, education","environmental education program, environmental education project",educate about,education about + environment,Không nhầm environmental education với environmental training; education thường rộng hơn training.,Thường gặp trong CSR và sustainability.,Education,environmental + education,association,environmental education = học về môi trường,TRUE,3,,
,environmental finance,noun phrase,tài chính môi trường,/ɪnˌvaɪrənˈmentəl ˈfaɪnæns/,Hoạt động tài chính nhằm hỗ trợ bảo vệ môi trường và các dự án bền vững.,Environmental finance can support renewable energy projects.,Tài chính môi trường có thể hỗ trợ các dự án năng lượng tái tạo.,,,hard,C1,850,uncommon,"green finance, sustainable finance",,"environment, environmental, finance, financial","environmental finance, green finance, sustainable investment",finance,finance for + environmental projects,Green finance phổ biến hơn trong nhiều tài liệu kinh doanh hiện đại.,Thuật ngữ nâng cao trong Finance và Sustainability.,Finance / Environment,environmental + finance,association,environmental finance = tài chính cho mục tiêu môi trường,FALSE,5,,
